neighborhood,normalized_crime
Poppleton,-0.1707959674588449
Pulaski Industrial Area,10.944834441770547
Purnell,-0.2952346703085911
Radnor-Winston,-0.16712464470132526
Ramblewood,-0.07086011598294434
Saint Helena,-0.28610584400839784
Reisterstown Station,0.32614961261381037
Remington,-0.14645778374648538
Reservoir Hill,-0.12305264751304416
Richnor Springs,-0.20927004353964218
Riverside,-0.2588944749710296
Rognel Heights,-0.018454143070154787
Roland Park,-0.3184985083761401
Rosebank,-0.02151449380086449
Rosemont,-0.19476069770609092
Rosemont East,-0.23241811865793416
Rosemont Homeowners/Tenants,-0.08461396842581591
Sabina-Mattfeldt,-0.10612619747454587
Saint Agnes,-0.14316443625628295
Sandtown-Winchester,-0.14416924631451114
South Baltimore,-0.26745129599775264
Seton Hill,0.10423357028980636
Shipley Hill,-0.17408703978964446
South Clifton Park,-0.14209121948957348
Stonewood-Pentwood-Winston,-0.23521535798808585
Taylor Heights,-0.3400034303665983
Ten Hills,-0.264894325924835
Towanda-Grantley,-0.24422092484884383
Tremont,-0.2820710380297839
Woodbourne-McCabe,-0.14855359935139123
The Orchards,-0.29949217177991716
Union Square,-0.11993242365104154
Tuscany-Canterbury,-0.3392176043545265
University Of Maryland,0.2635195001809177
Uplands,0.2470084100633875
Upper Fells Point,-0.2550999129109391
Downtown West,1.4904785946831463
Upton,0.01251132261417948
Villages Of Homeland,-0.351497679797384
Violetville,-0.029494238598804172
Wakefield,-0.1580611044724676
Walbrook,-0.1860195622391923
Winchester,-0.044907768407045474
Waltherson,-0.26077404718753483
Washington Hill,-0.18470233243780187
Washington Village/Pigtown,-0.04171425766305745
Waverly,-0.14199588612748626
West Arlington,-0.232845928166418
West Forest Park,-0.22810459073088699
West Hills,-0.20991381772309745
Woodbourne Heights,-0.2674851259645426
Westfield,-0.21462395637675813
Westgate,-0.2828461026931708
Westport,-0.11999733362331923
Wilson Park,-0.18800792610472356
Windsor Hills,-0.20714006400733806
Winston-Govans,-0.2206413512575676
Woodberry,-0.18623938162135983
Woodmere,-0.007983750495186471
Wyman Park,-0.31344266819674993
Wyndhurst,-0.22578013404683098
Yale Heights,-0.23997424841979453
Lower Edmondson Village,-0.19217203009871248
Wilhelm Park,0.6120360914897762
Edgewood,-0.17132392289883103
Evesham Park,-0.22712538420677636
Belvedere,-0.18686316087518073
Wrenlane,-0.2846156331098913
York-Homeland,0.895368891963772
CARE,0.04906422374256445
Belair-Edison,-0.18300373785008445
Four By Four,-0.1583054423666925
Charles Village,-0.2213212989862909
Old Goucher,0.00738405985221234
